+----------------------------------------------------------------------------------------------------------------------+--------+
|                                                        title                                                         | rating |
| Dying for the Truth                                                                                                  | 8.4    |
| Eisis                                                                                                                | 8.4    |
| Finding Nico                                                                                                         | 8.4    |
| Football Fables                                                                                                      | 8.4    |
| Free Wheels East                                                                                                     | 8.4    |
| Giorgione da Castelfranco, sulle tracce del genio                                                                    | 8.4    |
| God of War: Unearthing the Legend Franchise Documentary                                                              | 8.4    |
| Guilty Except for Insanity                                                                                           | 8.4    |
| Heart 2 Heart                                                                                                        | 8.4    |
| Highland Fling                                                                                                       | 8.4    |
| Justice for Sergei                                                                                                   | 8.4    |
| Karamay                                                                                                              | 8.4    |
| Kuklalar                                                                                                             | 8.4    |
| Le coeur d'Auschwitz                                                                                                 | 8.4    |
| Leo in the City                                                                                                      | 8.4    |
| Life Cycles                                                                                                          | 8.4    |
| Limbo Lounge                                                                                                         | 8.4    |
| Magyar Retró                                                                                                         | 8.4    |
| Meshuggah: Alive                                                                                                     | 8.4    |
| Mila trazi Senidu                                                                                                    | 8.4    |
| Music from the Big House                                                                                             | 8.4    |
| Natarang                                                                                                             | 8.4    |
| National Theatre Live: The Habit of Art                                                                              | 8.4    |
| Numb                                                                                                                 | 8.4    |
| P!Nk: Greatest Hits ... So Far!!!                                                                                    | 8.4    |
| Passion                                                                                                              | 8.4    |
| Quitting                                                                                                             | 8.4    |
| Radiohead Live in Praha                                                                                              | 8.4    |
| Rainbows End                                                                                                         | 8.4    |
| Raw Faith                                                                                                            | 8.4    |
| Romans d'ados 2002-2008: 2. La crise                                                                                 | 8.4    |
| Rouge ciel                                                                                                           | 8.4    |
| Rush: Beyond the Lighted Stage                                                                                       | 8.4    |
| Something Missie in the Life of Jordan Bank                                                                          | 8.4    |
| Strummerville                                                                                                        | 8.4    |
| Suika                                                                                                                | 8.4    |
| Swooped from Nothing                                                                                                 | 8.4    |
| The Aspern Papers                                                                                                    | 8.4    |
| The Man of a Thousand Songs                                                                                          | 8.4    |
| The Play-Station Killed the Puppet                                                                                   | 8.4    |
| The Seattle Pilots: Short Flight Into History                                                                        | 8.4    |
| The War You Don't See                                                                                                | 8.4    |
| Thespians                                                                                                            | 8.4    |
| Trans Francisco                                                                                                      | 8.4    |
| Transnationalmannschaft                                                                                              | 8.4    |
| Voces del subterráneo                                                                                                | 8.4    |
| Voices in the Clouds                                                                                                 | 8.4    |
| Wild Ride                                                                                                            | 8.4    |
| Yeardley                                                                                                             | 8.4    |
| You're Looking at Me Like I Live Here and I Don't                                                                    | 8.4    |
| *MEI [MEIG] Voci migranti                                                                                            | 8.3    |
| A Surprise in Texas                                                                                                  | 8.3    |
| All That Glitters                                                                                                    | 8.3    |
| Almost There                                                                                                         | 8.3    |
| Anime Fan Tom                                                                                                        | 8.3    |
| Arias with a Twist                                                                                                   | 8.3    |
| Awka Liwen                                                                                                           | 8.3    |
| Bach & Friends                                                                                                       | 8.3    |
| Bad Hero                                                                                                             | 8.3    |
| Beheading Buddha                                                                                                     | 8.3    |
| Bouncing Cats                                                                                                        | 8.3    |
| Burn Crisis                                                                                                          | 8.3    |
| Canvasman: The Robbie Ellis Story                                                                                    | 8.3    |
| Cartoneo y nopalitos                                                                                                 | 8.3    |
| Che: A New Man                                                                                                       | 8.3    |
| Chosin                                                                                                               | 8.3    |
| Depeche Mode: Tour of the Universe - Barcelona 20/21.11.09                                                           | 8.3    |
| Deranged High                                                                                                        | 8.3    |
| Eddie Macken: True Legend                                                                                            | 8.3    |
| El Bulli - Historia de un sueño                                                                                      | 8.3    |
| El Heist Grande                                                                                                      | 8.3    |
| Eskrimadors                                                                                                          | 8.3    |
| Exhaling Music                                                                                                       | 8.3    |
